heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,scenario,seed,agent,days,decide_every,sensor_noise_mult,verify_price
0.0,0.17777467921079654,0.0,0.17777467921079654,0.94,0.0,1.1177746792107965,39.02848449304964,0.023386185124316592,0.0,0.12302144745483884,0.0869815814868026,0.004441841438664904,0.9903846153846154,0.13908942307692307,2,14.0,0,1,24,0,0,99,,14.0,combined,12,bounded_react,1,4,1.0,0.0
0.0,1.509564979140008,0.0,1.509564979140008,1.45,0.0,2.959564979140008,38.97432146341768,0.030699517985860868,0.0,0.1231764619486868,0.08190870951964459,0.006422308846197417,0.9807692307692307,0.13805673076923078,3,15.0,1,0,24,0,0,101,,14.75,combined,13,bounded_react,1,4,1.0,0.0
0.0,0.7024574045422516,0.0,0.7024574045422516,1.24,0.0,1.9424574045422516,38.979911891715446,0.027628565320659146,0.0,0.11972141737110853,0.06116564353621234,0.006252389643689763,1.0,0.13536730769230768,4,19.0,0,1,24,0,0,103,,18.5,combined,14,bounded_react,1,4,1.0,0.0
0.0,0.39941279454079415,0.0,0.39941279454079415,1.61,0.0,2.0094127945407942,38.95776805024439,0.02466953053238533,0.0,0.11008329389178358,0.07366354900892826,0.005754412598452237,0.9903846153846154,0.13426923076923078,2,16.0,1,1,24,0,0,98,,14.75,combined,15,bounded_react,1,4,1.0,0.0
0.0,1.4249877389778853,0.0,1.4249877389778853,0.88,0.0,2.3049877389778852,38.99098563274115,0.03064732618373557,0.0,0.1088887754801642,0.0794572868248352,0.006618323885852213,1.0,0.13698557692307692,2,13.0,0,1,24,0,0,99,,13.0,combined,16,bounded_react,1,4,1.0,0.0
0.006346263233350413,0.0,0.0,0.006346263233350413,1.25,0.0,1.2563462632333504,39.225385052933404,0.015329280224277248,0.0,0.13921362097425674,0.08045328638259762,0.0029837002759408432,0.9326923076923077,0.13642307692307692,3,10.0,1,1,24,0,0,100,0.0,10.0,combined,17,bounded_react,1,4,1.0,0.0
0.0,0.5318172327153324,0.0,0.5318172327153324,0.9999999999999999,0.0,1.5318172327153323,38.946084739234585,0.026528885449698968,0.0,0.12507530807926653,0.07606991684371409,0.005708834211113278,0.9615384615384616,0.13369807692307692,2,15.0,0,1,24,1,0,96,,14.0,combined,18,bounded_react,1,4,1.0,0.0
0.0,0.1823692163623561,0.0,0.1823692163623561,1.06,0.0,1.242369216362356,39.16573143244455,0.023548762930028982,0.0,0.101609322885447,0.04440731065820998,0.004722225086921517,1.0,0.13323076923076924,3,16.0,0,1,24,0,2,101,,15.5,combined,19,bounded_react,1,4,1.0,0.0
0.0,0.7453855408947034,0.0,0.7453855408947034,1.6300000000000001,0.0,2.3753855408947038,39.07126388047002,0.02768574121843202,0.0,0.13609171315126134,0.06555286966849674,0.005676049495314866,0.9615384615384616,0.13870192307692308,2,18.0,1,0,24,0,1,99,,17.5,combined,20,bounded_react,1,4,1.0,0.0
0.10778985606492775,1.4376915669809358,0.0,1.5454814230458636,0.94,0.0,2.4854814230458633,39.48693339336451,0.03027047619847895,0.0,0.1043559935067171,0.06881870865821497,0.006830272887743547,1.0,0.13857019230769232,2,14.0,0,1,24,0,0,99,0.0,13.5,combined,21,bounded_react,1,4,1.0,0.0
0.0,0.9924224365059634,0.0,0.9924224365059634,0.9999999999999999,0.0,1.9924224365059633,39.019849376002085,0.029101608489595296,0.0,0.11023422490019251,0.07106973531384579,0.005335615967766509,0.9711538461538461,0.1348326923076923,1,15.0,0,1,24,0,0,96,,14.75,combined,22,bounded_react,1,4,1.0,0.0
0.0,0.6661896224082253,0.0,0.6661896224082253,1.06,0.0,1.7261896224082254,38.94270638212598,0.027393879853206973,0.0,0.09335071345753579,0.06191140462907745,0.004976972186424041,0.9903846153846154,0.13502788461538462,2,16.0,0,1,24,0,1,99,,15.75,combined,23,bounded_react,1,4,1.0,0.0
